name,rate,votes,location,cuisines,approx_cost(for two people)
Food Prade Dairy Delight,,0,Bannerghatta Road,Desserts,300
Baking Delite,,0,Koramangala 7th Block,Desserts,550
5 Degree Centigrade,,0,Koramangala 7th Block,"Beverages, Ice Cream",150
Bake The Cake,3.2 /5,4,Bommanahalli,"Bakery, Fast Food, Beverages",250
Home Treats,,0,JP Nagar,"Bakery, Desserts",250
Rock On Rolls & Parathas,,0,Bannerghatta Road,Rolls,250
Kopper Pot,,0,Bannerghatta Road,Bakery,500
Chocalot,,0,Koramangala 5th Block,Desserts,800
Smack Cafe,,0,Koramangala 1st Block,Cafe,400
Me And My Cake,3.2 /5,4,Bommanahalli,"Bakery, Desserts",500
Kanti Bakes & Flakes,,0,Bannerghatta Road,"Desserts, Mithai",300
Mumbai Kulfi,,0,Marathahalli,"Desserts, Ice Cream",200
Ooty Dreams,,0,Bannerghatta Road,"Desserts, Ice Cream",250
Arafa Juice Center,3.5 /5,10,Koramangala 5th Block,"Juices, Desserts, Fast Food",250
Shree Mithai,3.3 /5,10,Koramangala 7th Block,"Desserts, Street Food, Mithai",150
A1 Express,,0,Jayanagar,Bakery,300
Meraki Patisserie,3.3 /5,6,Jayanagar,"Bakery, Desserts",350
Mist n Creams,3.6 /5,10,Bannerghatta Road,Ice Cream,400
Niice Cream,3.8 /5,38,Koramangala 5th Block,"Ice Cream, Beverages, Desserts",400
TGS Retails,3.3 /5,4,HSR,"Bakery, Desserts",600
Cafe Choco Craze,3.7 /5,9,Bannerghatta Road,"Cafe, Fast Food, Desserts",400
Cake N Cookies,,0,JP Nagar,Bakery,350
Tea Bar,,0,Jayanagar,"Bakery, Tea, Beverages",100
Nandhana Mithai,,0,Koramangala 4th Block,"Mithai, Desserts",500
Lulu Bakes & Sweets,,0,Bommanahalli,Bakery,300
FrostBite,3.5 /5,15,Koramangala 5th Block,"Desserts, Fast Food",400
Mother Nature Kulfi,3.6 /5,10,Jayanagar,"Desserts, Ice Cream",200
Iyengar's Bakery,,0,JP Nagar,"Bakery, Fast Food",600
Squeez Juice Bars,3.3 /5,10,Bannerghatta Road,"Ice Cream, Juices",250
Cafe Coffee Day,3.5 /5,7,Jayanagar,"Cafe, Fast Food",900
Cream N Desserts,3.7 /5,49,Koramangala 7th Block,"Desserts, Beverages",400
Cake Yard,2.9 /5,30,Koramangala 7th Block,Desserts,250
Sangam Sweets,3.8 /5,75,Koramangala 3rd Block,"Mithai, Street Food",200
Oven Fresh,,0,Bannerghatta Road,"Bakery, Fast Food",600
Antilla Aromas,3.7 /5,22,Bannerghatta Road,"Desserts, Ice Cream",300
Dipd N Chocolate,NEW,0,Koramangala 7th Block,"Cafe, Desserts",300
AB's - Absolute Barbecues,4.9/5,6375,BTM,"European, Mediterranean, North Indian, BBQ","1,600"
The Globe Grub,4.4/5,201,BTM,"Continental, North Indian, Asian, Italian","1,300"
Punjabi by Nature 2.0,4.2/5,3230,BTM,North Indian,"1,600"
"3B's - Buddies, Bar & Barbecues",4.4/5,1149,BTM,"North Indian, Mediterranean, European, BBQ","1,100"
Pin Me Down,4.5/5,799,BTM,"Continental, Mexican, Chinese, North Indian",800
Mudpipe Cafe,4.5/5,1874,BTM,"Cafe, Continental, Burger",900
Malabar Bay,4.1/5,1541,BTM,"Kerala, Seafood, Chinese, Biryani, Juices",800
BANGALORE BOX,4.1/5,624,BTM,"Asian, Continental, Finger Food","1,500"
Fattoush,4.1/5,1272,BTM,"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood",900
Gud Dhani,4.0/5,827,BTM,Rajasthani,500
Beijing Bites,3.7/5,479,BTM,"Chinese, Thai",850
Narmadha's Hyderabad Biriyani,3.9/5,204,BTM,"Biryani, North Indian, Andhra",550
Savoury - Sea Shell Restaurant,3.9/5,467,BTM,"Arabian, North Indian, Chinese, Fast Food",550
Hotel Godavari,3.9/5,222,BTM,"Andhra, Chinese, North Indian, Biryani",500
Jose's Mess,4.3/5,315,BTM,"Kerala, South Indian, Biryani",300
Dadi's Dum Biryani,4.1/5,2724,BTM,"Biryani, North Indian, Mughlai",800
Capsicum Family Restaurant,3.8/5,254,BTM,"Biryani, North Indian",800
Polamma's Mess,4.2/5,185,BTM,"North Indian, Chinese, Biryani",300
Biryani Spot,3.5/5,9,BTM,"South Indian, Biryani",300
KKR Foodies,3.7/5,37,BTM,"Biryani, Chinese, Fast Food, North Indian",400
Savoury Restaurant,3.9/5,420,BTM,"Arabian, North Indian, Chinese, Fast Food",800
Bathinda Junction,3.9/5,363,BTM,North Indian,600
Pecos Hideout,4.0/5,165,BTM,Finger Food,"1,100"
Ruh's Cafe,4.1/5,464,BTM,"Cafe, American, Italian, Continental, Chinese",500
Swad Restaurant,3.7/5,115,BTM,"Chinese, North Indian",550
King Punjabi Restaurant,3.8/5,52,BTM,North Indian,300
New Kabab Plaza,3.7/5,135,BTM,"North Indian, Chinese",500
A2B - Adyar Ananda Bhavan,3.8/5,685,BTM,"South Indian, North Indian, Chinese, Street Food, Fast Food",400
Alankrutha,3.9/5,255,BTM,"Andhra, Biryani, North Indian, Chinese",500
Thottathil Restaurant,3.8/5,69,BTM,"Kerala, South Indian, Biryani",300
Bengali Fun Foods,3.9/5,65,BTM,"Bengali, North Indian",600
Birinz,4.1/5,295,BTM,"Biryani, Chinese, Mughlai, Fast Food, Kebab",700
Sankranthi Veg Restaurant,3.0/5,102,BTM,"South Indian, North Indian, Chinese",600
Hiyar Majhe Kolkata,4.0/5,245,BTM,"Bengali, North Indian",400
Royal View Restaurant,3.7/5,26,BTM,"North Indian, Chinese, Arabian",700
Momoz,4.0/5,943,BTM,"Chinese, Momos",600
Kababish Restaurant,3.6/5,15,BTM,"North Indian, Chinese, Arabian",700
New Gongura's,3.7/5,44,BTM,"Andhra, Biryani, North Indian, Chinese",550
C. K. Mega Hot Food,3.9/5,100,BTM,"Chinese, Momos",600
El Salver,3.9/5,74,BTM,"Biryani, Chinese, Continental, North Indian, Kerala, South Indian",700
New Friends,3.8/5,273,BTM,"North Indian, Continental, Chinese, Steak",900
Brother?s Bar & Kitchen,3.4/5,5,BTM,"Chinese, North Indian","1,000"
Cafe Fattoush,3.8/5,24,BTM,"Cafe, Lebanese",700
Royal Paris,3.9/5,68,BTM,"North Indian, Arabian, Chinese","1,000"
Mecaf Family Restaurant,3.9/5,214,BTM,"North Indian, Chinese, Fast Food, Rolls, Beverages",600
RBP Greens Garden,2.7/5,48,BTM,"North Indian, Chinese",700
Punjabi Swag,3.9/5,670,BTM,North Indian,500
Hyderabadi Biryani Hub,3.6/5,218,BTM,"Biryani, North Indian, Chinese",600
Shagun Sweets & Foods,3.5/5,221,BTM,"Mithai, North Indian, Street Food, Chinese",400
Black Cup Cafe,3.6/5,19,BTM,"Cafe, Fast Food, Beverages",400
Tandoor Garden,3.6/5,71,BTM,"North Indian, Chinese, Kebab",350
Xpress Chai,3.7/5,31,BTM,Tea,150
Hang10 Resto N Cafe,3.8/5,100,BTM,"Cafe, North Indian, Chinese",700
Modern Restaurant,3.1/5,18,BTM,"North Indian, Chinese",450
Crown Resto,NEW,0,BTM,"Kerala, Chinese, Fast Food",600
Kabab Ghar,3.3/5,14,BTM,"Biryani, North Indian, Kebab",600
Sri Vishnu Park,3.8/5,99,BTM,"South Indian, North Indian, Chinese",350
Yeti,3.7/5,22,BTM,"Fast Food, Desserts, Ice Cream",300
The Biryani Story,4.4/5,76,BTM,"Biryani, North Indian, Chinese, Mughlai",600
Sai Mango Tree,3.6/5,45,BTM,"Biryani, Hyderabadi, Chinese",500
New Surya Sweets & Snacks,3.5/5,7,BTM,"Mithai, Fast Food",300
Avon Bar & Kitchen,3.7/5,104,BTM,"Andhra, Chinese, North Indian",700
Aaccord Restaurant,NEW,0,BTM,"Continental, North Indian, Chinese",600
Krishna Vaibhava,3.5/5,40,BTM,"North Indian, South Indian",350
Abhiruchi Hotel,3.5/5,735,BTM,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",600
Zam Zam Darbar,2.9/5,84,BTM,"North Indian, Biryani, Chinese",500
Kullad Cafe,3.9/5,331,BTM,"North Indian, Cafe, Fast Food, Beverages",200
Trippy Paradise,2.6/5,60,BTM,Cafe,900
Indus Family Restaurant,3.8/5,117,BTM,"North Indian, Biryani",600
On The Nose,3.8/5,613,BTM,"Cafe, Italian, Mexican, Chinese",600
Mayur,3.6/5,18,BTM,"Andhra, North Indian, Chinese",500
Akshaya Grand,3.4/5,29,BTM,North Indian,750
Brewz Coffee,3.0/5,61,BTM,Cafe,650
Bakers Town,3.6/5,41,BTM,"Cafe, Continental, Fast Food",600
Cafe Orio,4.0/5,147,BTM,"Cafe, Fast Food",400
Kannoor Restaurant,3.1/5,18,BTM,"Kerala, Chinese, South Indian, North Indian",500
Sai Abhiruchi,3.8/5,337,BTM,"Andhra, North Indian, Biryani",800
Dilish Kitchens,3.7/5,28,BTM,"North Indian, Chinese",500
Champaran Spice,3.4/5,5,BTM,North Indian,400
S.S Bangali Restaurant,NEW,0,BTM,"South Indian, North Indian",300
Tasty Magic,2.7/5,73,BTM,"Chinese, North Indian",600
Bawarchi Inn,3.1/5,140,BTM,"North Indian, Biryani, Andhra, Chinese",600
Delight Food,2.7/5,172,BTM,"Andhra, Chinese, Biryani",450
Nandanam Family Restaurant,3.6/5,18,BTM,"Kerala, Chinese, South Indian",350
Swaadam Veg,3.6/5,34,BTM,"South Indian, Chinese",300
BBQ Ride 46,3.4/5,7,South Bangalore,BBQ,200
Insta Cafe,2.9/5,7,BTM,"Cafe, Continental, Pizza, Italian, Beverages",400
Golden Grill Restaurant,3.5/5,18,BTM,"Arabian, Chinese, North Indian, Kerala, Seafood",550
Hotel Vedha,,0,BTM,"South Indian, North Indian",200
Bangali Babu Restaurant,,0,BTM,"Mithai, Desserts, Fast Food",250
Nile Garden Restaurant,2.6/5,33,BTM,"North Indian, Fast Food, Chinese, Beverages",500
Whooppeezz,4.0/5,372,BTM,"Italian, Pizza",500
Invitation Bar & Restaurant,3.0/5,15,BTM,North Indian,"1,000"
Smoothie Hub,,0,BTM,"Beverages, Fast Food",400
WhatsUp 99 Variety Dosa,,0,BTM,Maharashtrian,200
Flavour of China,3.8/5,254,BTM,Chinese,550
New Grand Restaurant,3.1/5,11,BTM,"North Indian, South Indian, Biryani",500
New Andhra Spice,3.6/5,22,BTM,Andhra,600
Rayalaseema Ruchulu,,0,BTM,"Andhra, North Indian",700
Chillout,,0,BTM,"Burger, Cafe, Pizza, Fast Food",200
Desi Vibes,3.7/5,46,BTM,"North Indian, Chinese",600
HungerLoft,2.5/5,109,BTM,"North Indian, Chinese, Arabian",800
Zanzibar - Davanam Sarovar Portico Suites,3.5/5,39,BTM,Finger Food,"1,200"
Aaharaa,,0,BTM,North Indian,300
Maruti Garden,,0,BTM,"North Indian, Kerala",450
Savandh's Kitchen - Donne Biryani,,0,BTM,"Biryani, South Indian",350
Anvar Bhai's,,0,BTM,North Indian,250
La Passion Cafe,,0,BTM,Cafe,500
Bhaijaan Barbeques,,0,South Bangalore,"Mughlai, Arabian, BBQ",200
Melt,4.0/5,115,BTM,"Continental, Steak, Fast Food","1,000"
Hearts Unlock Cafe,3.2/5,11,BTM,"Cafe, Healthy Food",500
Blue Berry Restaurant,2.9/5,17,BTM,"North Indian, Kerala, Chinese",600
Cafe Coffee Day,3.3/5,15,BTM,"Cafe, Fast Food",900
Cafe 221B,3.7/5,49,BTM,"Cafe, Beverages",300
Hotel Orchid,,0,BTM,"North Indian, South Indian, Chinese, Kerala",500
Neer Dosa Fish Land,3.6/5,39,BTM,"Seafood, Mangalorean",600
Seekers Cafe,3.6/5,25,BTM,"Italian, Continental",500
Dash In,3.1/5,53,BTM,"North Indian, Chinese, Kerala",600
De Street Cafe,3.6/5,61,BTM,Cafe,500
Cafe Hush,3.6/5,22,BTM,"Cafe, Fast Food",500
Hunger Buds,3.5/5,10,BTM,North Indian,250
The Chef Restaurant,,0,BTM,"North Indian, Chinese, South Indian",600
Amaravati Grand,3.4/5,7,BTM,"Chinese, Andhra, Mangalorean",550
Hyderabadi Biryani Corner,3.4/5,7,BTM,"Hyderabadi, North Indian, Chinese",350
Amontron,3.9/5,438,BTM,Bengali,650
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,3.7/5,41,BTM,"Biryani, North Indian",450
Ma-Arya Family Restaurant,3.1/5,8,BTM,"Biryani, South Indian, North Indian, Chinese, Andhra",600
Sri Durga Cane Fresh,3.4/5,5,BTM,"Juices, Beverages, Fast Food",100
Aha Juice Bar,3.6/5,13,BTM,"Beverages, Fast Food",200
Amravathi Restaurants & Caterers,3.1/5,6,BTM,"North Indian, Chinese",400
Cafe Club Kerala Restaurant,,0,BTM,Kerala,300
Malnad Military Hotel,,0,BTM,"South Indian, Chinese",350
UKIYO,,0,BTM,"Beverages, Sandwich, Chinese",300
Shater Grill House,3.5/5,8,BTM,"North Indian, Arabian, Chinese",700
MK RESTAURANT,,0,BTM,North Indian,400
Venessa,NEW,0,BTM,"North Indian, South Indian, Asian, Continental","1,200"
BTM,NEW,0,BTM,"North Indian, South Indian",400
Benzys,3.2/5,6,BTM,"Arabian, Chinese, Hyderabadi, Kerala",700
Shiva's Bar And Restaurant,NEW,0,BTM,"South Indian, North Indian, Fast Food",800
Nanna Munna,3.4/5,8,BTM,"North Indian, Chinese",200
Bamboo Heights,3.7/5,112,BTM,"Chinese, Fast Food, Continental",500
Zengi Pub & Restaurant,3.7/5,32,BTM,"Finger Food, Continental, Chinese",900
Biggies Burger 'n' More,3.8/5,208,BTM,"Cafe, Burger, Beverages",650
PHEW (Play Hard Eat Wild),3.9/5,487,BTM,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700
The 90s Hash House,3.8/5,63,BTM,Cafe,500
Eatery Have U Been,3.4/5,35,BTM,"Cafe, Chinese, Fast Food, Burger, North Indian",500
Chai Point,4.0/5,113,BTM,"Tea, Beverages, Fast Food",250
Odissi Restaurant,2.8/5,62,BTM,"Oriya, Bengali",500
Mughlai Kitchen,3.5/5,270,BTM,"Mughlai, North Indian, Chinese, Momos",600
Krishna Sagar,3.9/5,52,BTM,"South Indian, North Indian, Chinese",300
Sri Punjabi Dhaba,3.2/5,44,BTM,North Indian,400
Pizza Hut,3.3/5,19,BTM,"Pizza, Fast Food",750
Cupp,NEW,0,BTM,"Cafe, Fast Food",550
Grillopia,3.9/5,88,BTM,"Italian, American, Fast Food, Wraps, Rolls, Salad","1,000"
Yum In My Tum,4.1/5,99,BTM,"Chinese, Continental, Fast Food, Healthy Food",300
Namaste,NEW,0,BTM,South Indian,70
Biriyani Bhatti,3.7/5,21,BTM,"Chinese, Hyderabadi, North Indian",400
Gyani Da Punjabi Dhaba,3.9/5,1189,BTM,"North Indian, Chinese",500
Bathinda Tandoor,NEW,0,BTM,North Indian,300
Heaven 2 Oven,NEW,0,BTM,Chinese,300
Awesome Foods,3.7/5,23,BTM,"Chinese, North Indian",300
Kalingas,3.9/5,179,BTM,"Oriya, Fast Food",250
Muthashy's,4.2/5,465,BTM,"Kerala, South Indian, Chinese",400
Swadista Aahar,4.1/5,783,BTM,"South Indian, North Indian, Chinese, Street Food",300
Kannur Food Point,4.0/5,137,BTM,"Kerala, North Indian",200
Aramane Donne Biriyani,3.9/5,191,BTM,"Biryani, Fast Food",300
Ambur Star Briyani,3.5/5,383,BTM,"Biryani, Kebab",400
The Shawarma Shop,4.1/5,381,BTM,Arabian,250
Litti Twist,4.2/5,465,BTM,"North Indian, Bihari",300
KFC,3.9/5,348,BTM,"Burger, Fast Food",400
Domino's Pizza,4.1/5,521,BTM,"Pizza, Fast Food",400
YummRajj,3.3/5,42,BTM,Fast Food,500
Amaravati,3.6/5,39,BTM,"North Indian, Chinese",400
Faasos,3.9/5,441,BTM,"North Indian, Biryani, Fast Food",500
Appana Restaurant,3.5/5,11,BTM,North Indian,300
Petoo,4.0/5,23,BTM,"North Indian, Fast Food, Beverages",400
Darshan Paradise Restaurant,NEW,0,BTM,"North Indian, Chinese",250
The Cake Lair,3.5/5,9,BTM,"Bakery, Fast Food, Beverages",600
Roti Wala,4.0/5,199,BTM,North Indian,300
Vyanjan,3.9/5,201,BTM,"North Indian, Street Food",300
Falooda Cafe,NEW,0,BTM,"Beverages, Desserts",200
Desi Aahar,NEW,0,BTM,"North Indian, Chinese, Seafood",400
Ashirvaad Grand,4.0/5,113,BTM,"Chinese, North Indian, South Indian",400
Manchu Cafe,3.8/5,22,BTM,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",300
New Tasty Cafeteria,3.8/5,376,BTM,"North Indian, Chinese, Arabian, Rolls, Juices",500
Nadan Thattukada,3.7/5,35,BTM,"Kerala, Chinese",200
New Limra Hotel,3.4/5,5,BTM,"South Indian, Biryani, Fast Food",200
Fogg,NEW,0,BTM,"Fast Food, Chinese",200
Gorbandh,4.0/5,84,BTM,"Fast Food, North Indian",400
Just Sandwiches,3.6/5,10,BTM,Sandwich,100
Shri Ram Sweet Centre,4.0/5,160,BTM,"Street Food, Mithai",150
Bangalore Star Biriyani,3.4/5,7,BTM,"Biryani, Chinese, North Indian",300
Tarbouche,3.8/5,12,BTM,"Turkish, Rolls",300
JP Fish Land,3.6/5,24,BTM,Seafood,300
Anda Ka Funda,3.2/5,64,BTM,"North Indian, Chinese, Rolls",250
Poha House,3.6/5,6,BTM,Maharashtrian,200
New South Corner,3.7/5,20,BTM,"South Indian, North Indian, Chinese",300
Kabab Magic,3.9/5,879,BTM,"North Indian, Kebab, Fast Food",500
Swad Punjab Da,4.1/5,128,BTM,North Indian,150
RB Food Point,3.7/5,31,BTM,"North Indian, Chinese",300
The Food Cottage,3.7/5,48,BTM,"Hyderabadi, North Indian",350
B2D Indori Dhaba,,0,BTM,North Indian,100
Taste Of Kolkata,3.1/5,59,BTM,"Bengali, Chinese, Rolls",400
Afghani Tandoori Hub,3.6/5,14,BTM,"Arabian, Afghan",400
Bansuri Sweets,3.8/5,110,BTM,"Street Food, North Indian",200
Pathaan Sir,3.9/5,183,BTM,"Fast Food, Rolls, Momos",250
Just Shawarma,3.9/5,201,BTM,Arabian,300
Al Hayath,3.5/5,17,BTM,"North Indian, Chinese",200
Khaja Point,NEW,0,BTM,"North Indian, Chinese, Biryani",300
Chaatimes,3.4/5,46,BTM,"Street Food, Fast Food",200
Sagar Fast Food,3.7/5,66,BTM,"South Indian, Chinese, North Indian",300
Eat N Pack,,0,BTM,Kerala,150
Zeeshan,2.8/5,178,BTM,"North Indian, Mughlai, Biryani, Rolls",700
Bake and Juice,3.5/5,15,BTM,"Fast Food, Beverages",400
Taste Of Malabar,3.6/5,23,BTM,"South Indian, Kerala, Chinese",350
Hungry Lee,4.1/5,358,BTM,"Chinese, Thai, Asian",500
Kairali,3.9/5,170,BTM,"Kerala, South Indian, Seafood, Biryani",300
BTM Ghar ka Khana,3.7/5,126,BTM,North Indian,200
Rolls On Wheels,3.5/5,13,BTM,"Fast Food, Rolls, Momos",200
Indori Chatorey,2.8/5,138,BTM,"North Indian, Street Food",300
Daniyal's,3.1/5,42,BTM,"North Indian, Biryani, Mughlai, Kebab",800
Joon Restaurant,3.7/5,31,BTM,"Arabian, Chinese, North Indian, Kerala, Juices",400
The Biriyani Pedia,3.9/5,56,BTM,Biryani,300
Body Temple,3.3/5,12,BTM,Healthy Food,500
Rajveena Kitchen,3.7/5,27,BTM,"North Indian, Fast Food, Biryani, Chinese",500
Friends Chats Adda,NEW,0,BTM,"Fast Food, Sandwich, Beverages",200
Hotel Udipi Krishna,NEW,0,BTM,South Indian,100
Amjad Bhai's Star Hotel - Home Food Only,NEW,0,BTM,"North Indian, South Indian",300
The Hungers Zone,3.8/5,57,BTM,"Fast Food, Italian, Pizza",300
Baba Ka Dhaba,3.7/5,195,BTM,North Indian,400
RK Fresh Food,3.5/5,13,BTM,Fast Food,300
Royal Biryani Kitchen,3.9/5,187,BTM,"Biryani, North Indian, Kebab",600
Rayaan's BBQ,3.3/5,6,BTM,"North Indian, BBQ",350
Dev's Gugababa,3.5/5,177,BTM,"Bengali, North Indian, Chinese",500
Funky Punjab,3.9/5,124,BTM,"North Indian, Chinese",400
Sri Nandi Grand,3.4/5,6,BTM,"North Indian, South Indian",300
Bisimillah Biriyani,3.5/5,11,BTM,"Biryani, Fast Food",300
Kesar Sweet Shop and Fast Food,4.0/5,213,BTM,"North Indian, South Indian, Chinese, Street Food, Mithai",500
New Mahesh Friends Food Corner,3.3/5,48,BTM,"North Indian, Chinese",300
Biryani Dawat,NEW,0,BTM,"Biryani, Hyderabadi",400
Momo Time,,0,BTM,"Momos, American",600
Paratha Plaza,3.0/5,96,BTM,"North Indian, Chinese",300
Arabian Bites,3.4/5,24,BTM,"North Indian, Chinese",300
New Kabab Zone,3.5/5,39,BTM,"North Indian, Fast Food",500
McDonald's,3.6/5,59,BTM,"Burger, Fast Food",500
Udupi Gokul Cafe,3.8/5,58,BTM,South Indian,300
Sri Devi Baker's,3.9/5,41,BTM,"Bakery, Street Food",200
Cafe Alchemist,3.8/5,61,BTM,"Fast Food, Juices",300
Healthy Parathawala,NEW,0,BTM,North Indian,200
Veruthe Oru Thattukada,3.7/5,27,BTM,"Kerala, South Indian",400
Kallummakkaya,NEW,0,BTM,"South Indian, North Indian",200
Sri Krishna Kitchen,3.6/5,41,BTM,Fast Food,400
Namma Kadai,3.4/5,4,BTM,South Indian,150
Chokha Chowka,3.9/5,357,BTM,"North Indian, Chinese",400
Kapoor's Biriyani,3.3/5,334,BTM,"Biryani, North Indian",400
Ammus Hot N Cool,3.4/5,84,BTM,"North Indian, Chinese",300
Eat N Drink,3.8/5,87,BTM,Fast Food,250
The Bong Palate,3.8/5,60,BTM,"Bengali, North Indian, Chinese",300
Stop N Joy,NEW,0,BTM,"Street Food, Beverages",150
Mini Adiga's,2.8/5,27,BTM,"South Indian, North Indian, Chinese, Street Food, Juices",250
Nellore Dosa Camp,3.3/5,5,BTM,"Andhra, South Indian",70
Ambur Dum Biryani,,0,BTM,Biryani,200
GFC Biryani,,0,BTM,Biryani,300
Hyderabad Biriyani House,,0,BTM,Biryani,400
Omleterian,,0,BTM,"American, Continental",200
Sri Saravana Bhavan,3.7/5,35,BTM,South Indian,200
Fillers,3.9/5,138,BTM,"North Indian, Fast Food",300
Kafe Nook,3.6/5,35,BTM,Fast Food,300
Gangothri Kabab Corner,3.1/5,18,BTM,North Indian,400
Thalassery Cafe,3.4/5,7,BTM,Street Food,150
Nawab-E-Khana,3.2/5,30,BTM,"North Indian, Biryani",500
Kataria's Home Food,3.1/5,40,BTM,North Indian,400
The Biriyani Factory,3.1/5,30,BTM,"North Indian, Biryani",500
Bisimillah Biriyani's & Kebab's,3.3/5,6,BTM,"Biryani, Fast Food",300
SS Hot Dhum Briyani Point,,0,BTM,"North Indian, Chinese, South Indian",200
Cafe 58,3.4/5,4,BTM,"Fast Food, Biryani",200
Samosa King,3.4/5,6,BTM,Street Food,200
Five Star Chicken,3.5/5,24,BTM,Fast Food,350
Chicken Magic,3.7/5,209,BTM,"Chinese, North Indian",300
Tongue Twisters,3.5/5,283,BTM,"Bengali, North Indian, Oriya",350
Apna Punjab,3.6/5,474,BTM,"North Indian, Chinese, Fast Food",450
Ghee Biryani House,3.1/5,7,BTM,"North Indian, Biryani, Chinese, Arabian",400
Udupi Thaja Thindi,2.9/5,42,BTM,"North Indian, South Indian, Chinese, Fast Food",250
Chatter Platter,3.4/5,29,BTM,"Street Food, North Indian",300
Habitts,3.7/5,61,BTM,"Fast Food, Sandwich, Italian",450
Snack Knack,3.0/5,36,BTM,"North Indian, Chinese",200
Al Habibi Restaurant,3.5/5,17,BTM,"North Indian, Chinese",300
Indian Paratha Factory,2.9/5,24,BTM,North Indian,250
Sher-E-Punjab,3.2/5,19,BTM,"North Indian, Chinese",400
Speedbreaker,3.4/5,14,BTM,North Indian,300
Totus,NEW,0,BTM,Chinese,300
Tandoor Nation,3.0/5,39,BTM,"North Indian, Chinese",400
Multi Kitchen,,0,BTM,"North Indian, Chinese",300
Desi Vdesi,3.8/5,50,BTM,"Fast Food, North Indian, Rolls",250
Miss Momo,3.2/5,10,BTM,"Tibetan, Momos",250
Mangalore Lunch Home,3.6/5,42,BTM,"North Indian, South Indian, Mangalorean",250
Indian Kitchen Eateries-IKE,3.4/5,8,BTM,Fast Food,150
Jigarthanda,3.6/5,11,BTM,"Fast Food, Desserts, Rolls",200
Spice Taj,,0,BTM,"North Indian, Chinese",300
Kolakata Biryani Cafe,,0,BTM,"Chinese, North Indian, Biryani, Rolls",400
Basava Hotel,,0,BTM,South Indian,200
Ammayi Thakkaram,,0,BTM,"Kerala, South Indian",400
Nanu's Shawarma,,0,BTM,"Chinese, Arabian, Rolls",300
Udupi Thadka,,0,BTM,"South Indian, Chinese, North Indian",250
Sri Venkateswara Andra Mess,,0,BTM,South Indian,120
Yaduvanshi Hotel,,0,BTM,"Bihari, Chinese",300
Peshawari Zaika,,0,BTM,"North Indian, Fast Food",300
Swad Plaza,3.4/5,6,BTM,"North Indian, Chinese",400
Sri Sankara Cafe,3.6/5,26,BTM,South Indian,100
Limra Hotel,3.3/5,26,BTM,"Chinese, North Indian",300
Borah's Kitchen,3.3/5,12,BTM,"North Indian, Chinese",250
Magix's Parattha Roll,3.7/5,184,BTM,"Fast Food, North Indian, Chinese, Mughlai, Rolls",400
Meat And Eat,3.1/5,15,BTM,"Fast Food, Burger",500
Khan's Biryani,3.0/5,11,BTM,"Biryani, North Indian",300
Armaani Caffe,3.5/5,12,BTM,Fast Food,250
Chicken Corner,3.7/5,25,BTM,"Biryani, North Indian, Fast Food, Chinese",400
Subway,,0,BTM,"Salad, Fast Food",600
Hungry Buddies,3.3/5,33,BTM,North Indian,150
HOTEL VKM,,0,BTM,South Indian,300
RCS Kitchen,3.3/5,34,BTM,Continental,500
Tomago Roast,3.5/5,12,BTM,"Fast Food, Beverages",400
Singh Punjabi Dhaba,3.8/5,67,BTM,"North Indian, Chinese",400
Healthy Parathawala,NEW,0,BTM,North Indian,200
Sri Vishnupriya,3.0/5,67,BTM,"South Indian, North Indian, Chinese",300
Punjabi Daawat,2.4/5,221,BTM,North Indian,550
Aarya Pork Hotel,3.3/5,11,BTM,"South Indian, Biryani, Chinese",300
Sri Krishna Sagar,3.6/5,11,BTM,"South Indian, North Indian, Chinese",200
Hotel Adhvi,,0,BTM,South Indian,150
Mast Biryani,,0,BTM,Biryani,300
Apna Odisha Kolkatta Hotel,,0,BTM,North Indian,400
Bihari Food Corner,,0,BTM,"North Indian, Chinese",250
Navaruchi,,0,BTM,"Chinese, North Indian, South Indian",350
Dribzz Bakes & Cafe,,0,BTM,"Fast Food, Chinese, Desserts",200
Regal Cafe,,0,BTM,"Street Food, Juices",200
Y Not Shawarma,,0,BTM,Arabian,300
Shawarma Hunt,,0,BTM,Arabian,300
Vibe Club,,0,BTM,"Fast Food, Beverages",300
Ayush Reddy Tiffins & Fast Food Center,,0,BTM,"South Indian, Fast Food, Chinese",300
RK Fast Food,,0,BTM,"South Indian, Chinese",300
Dhe Chef Cafe,,0,BTM,"North Indian, Rolls",200
Hotel Sri Kumar Bhavan,,0,BTM,South Indian,200
Paradise Food Court,,0,BTM,"North Indian, Chinese",400
Foodiction,,0,BTM,"North Indian, Fast Food, Burger",500
Foodies Club,3.4/5,5,BTM,"South Indian, Chinese, North Indian, Sandwich, Rolls",300
Shawarma Corner,,0,BTM,Arabian,100
Royal Dine Family Restaurant,,0,BTM,"Kerala, North Indian, Chinese, Hyderabadi, Arabian",400
Chai Makhan,,0,BTM,"North Indian, Chinese, South Indian",300
Mirchi- The Indian Street Food Kitchen,,0,BTM,"Street Food, North Indian, South Indian",150
